rank,domain,reason
394,volcfcdndvs.com,ENOTFOUND
380,myhuaweicloud.com,ENOTFOUND
400,tiktokv.us,ENOTFOUND
406,heytapdl.com,ENOTFOUND
407,temu.com,http_200
409,casalemedia.com,http_200
342,imcmdb.net,timeout
415,tiktokv.eu,ENOTFOUND
417,hostgator.com,http_403
297,mangosip.ru,timeout
419,tiktokcdn-eu.com,ENOTFOUND
420,awswaf.com,ENOTFOUND
398,amazontrust.com,http_404
424,pangle.io,ENOTFOUND
422,t-mobile.com,http_403
425,avcdn.net,ENOTFOUND
421,amazonalexa.com,http_200
428,nflxvideo.net,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
429,expireddomains.com,http_404
431,online-metrix.net,ENOTFOUND
433,kwaipros.com,http_404
427,beian.gov.cn,ENOTFOUND
438,pixabay.com,http_403
439,xcal.tv,ENOTFOUND
442,dual-s-msedge.net,ENOTFOUND
344,inner-active.mobi,timeout
445,ngenix.net,http_403
443,netease.com,http_404
448,sberbank.ru,SELF_SIGNED_CERT_IN_CHAIN
450,g.page,http_200
451,2mdn.net,ENOTFOUND
454,skyhigh.cloud,http_200
364,tbcache.com,timeout
404,vkuser.net,timeout
459,awsglobalaccelerator.com,ENOTFOUND
446,yahoo.co.jp,http_403
463,gcdn.co,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
413,avsxappcaptiveportal.com,timeout
465,gamepass.com,ERR_TLS_CERT_ALTNAME_INVALID
468,featureassets.org,http_403
470,sc-gw.com,ENOTFOUND
469,eye4.cn,CERT_HAS_EXPIRED
471,edgecdn.ru,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
476,adobe.net,ERR_TLS_CERT_ALTNAME_INVALID
434,ipv4only.arpa,timeout
402,wbx2.com,timeout
479,gandi-ns.fr,ENOTFOUND
480,gosuslugi.ru,http_403
483,myqcloud.com,EHOSTUNREACH
485,mynetname.net,ENOTFOUND
467,adriver.ru,http_404
488,fandom.com,http_403
492,exp-tas.com,ENOTFOUND
493,discord.media,http_520
495,stackoverflow.com,http_418
500,beyondwickedmapping.org,http_404
505,tencent-cloud.net,EHOSTUNREACH
440,dnspod.net,timeout
466,nflximg.com,timeout
444,worldnic.com,timeout
509,mediatek.com,http_200
513,vidaahub.com,ENOTFOUND
516,adobedtm.com,ENOTFOUND
515,run.app,http_404
517,svc.ms,http_404
520,nstld.com,ENOTFOUND
504,supertms.com,ENOTFOUND
527,spaceweb.pro,ECONNREFUSED
526,timeweb.ru,http_200
529,cdn20.com,ENOTFOUND
530,impervadns.net,ENOTFOUND
531,oup.com,http_202
456,list-manage.com,timeout
537,aiv-delivery.net,ENOTFOUND
519,elasticbeanstalk.com,ECONNRESET
540,live.net,ENOTFOUND
542,shopifysvc.com,ENOTFOUND
543,markmonitor.com,http_403
538,bdydns.com,ENOTFOUND
544,cloudflareinsights.com,http_200
545,e2ro.com,ENOTFOUND
547,squarespacedns.com,ENOTFOUND
549,byteglb.com,ENOTFOUND
550,bluehost.com,http_403
552,palmplaystore.com,http_404
541,hicloud.com,http_200
561,easebar.com,ENOTFOUND
567,3lift.com,http_403
569,ui-dns.com,ENOTFOUND
564,aboutads.info,http_200
571,azure-dns.com,ENOTFOUND
572,share.google,http_200
573,rlcdn.com,http_404
477,firetvcaptiveportal.com,timeout
478,npr.org,timeout
580,ieee.org,http_202
576,uk.com,http_200
578,noaa.gov,http_403
583,adobedc.net,ENOTFOUND
582,my.com,ENOTFOUND
575,oraclecloud.com,http_403
586,msidentity.com,ENOTFOUND
587,on.aws,ENOTFOUND
584,xiaomi.net,ERR_TLS_CERT_ALTNAME_INVALID
590,qlivecdn.com,ENOTFOUND
592,t-msedge.net,ENOTFOUND
594,yahoodns.net,ENOTFOUND
593,mdpi.com,http_403
595,icloud-content.com,http_200
604,vedsalb.com,ENOTFOUND
605,accuweather.com,http_403
609,yandexcloud.net,ENOTFOUND
608,bidswitch.net,ENOTFOUND
612,wb.ru,http_498
615,licdn.com,ENOTFOUND
617,unesco.org,http_403
620,vercel-dns-016.com,http_404
622,akamaitech.net,ENOTFOUND
619,force.com,http_403
503,mcafee.com,timeout
628,googlezip.net,ENOTFOUND
613,ubi.com,http_200
637,googletagservices.com,http_404
510,nease.net,timeout
644,withgoogle.com,http_200
649,bx-msedge.net,ENOTFOUND
559,chinamobile.com,timeout
650,zdnscloud.cn,ENOTFOUND
652,service.gov.uk,http_200
645,dyndns.org,http_200
646,pushy.io,http_404
660,ozone.ru,ERR_TLS_CERT_ALTNAME_INVALID
667,bytedns1.com,ENOTFOUND
591,samsungapps.com,timeout
669,anydesk.com,http_403
672,twimg.com,ENOTFOUND
673,resolver.arpa,ENOTFOUND
675,ovh.net,http_200
677,g.co,http_400
676,alrosa.ru,http_403
680,magnit.ru,http_403
679,dotomi.com,http_200
690,nel.goog,ENOTFOUND
688,nic.network,ERR_TLS_CERT_ALTNAME_INVALID
691,id5-sync.com,http_200
693,1rx.io,ENOTFOUND
695,dyingbirds.com,ENOTFOUND
704,samsungacr.com,ENOTFOUND
703,dbankcloud.com,http_403
710,githubusercontent.com,http_500
711,agkn.com,http_404
713,smaato.net,ENOTFOUND
716,gofin.io,ENOTFOUND
714,ks-cdn.com,ENOTFOUND
718,mega.co.nz,http_200
717,allaboutcookies.org,http_403
721,iso.org,http_403
725,a-msedge.net,ENOTFOUND
639,shiabank.com,timeout
726,lijit.com,http_403
724,rt.ru,http_200
734,criteo.net,ENOTFOUND
606,alicdn.com,timeout
738,bidr.io,ENOTFOUND
739,homedepot.com,http_403
744,pvp.net,ENOTFOUND
747,imrworldwide.com,ENOTFOUND
742,browser-intake-datadoghq.com,http_403
748,vercel.app,http_200
751,cdn-vk.ru,ENOTFOUND
750,appcenter.ms,http_404
753,bamgrid.com,ENOTFOUND
752,fda.gov,http_404
755,steamstatic.com,ENOTFOUND
757,nmrodam.com,ENOTFOUND
761,ovscdns.com,ENOTFOUND
767,safebrowsing.apple,ENOTFOUND
770,bunnyinfra.net,ENOTFOUND
771,lenovo.com,http_403
762,nikkei.com,http_200
692,typekit.net,timeout
775,cdnhwc1.com,ENOTFOUND
778,teads.tv,http_200
779,adjust.com,http_429
746,afilias-nst.info,ENOTFOUND
651,ups.com,timeout
777,alipaydns.com,ERR_TLS_CERT_ALTNAME_INVALID
787,liadm.com,ENOTFOUND
789,it.com,http_404
790,dkttc.ac.th,http_404
764,wswebcdn.com,ENOTFOUND
723,telephony.goog,timeout
797,b-msedge.net,ENOTFOUND
796,a-mo.net,http_403
803,grammarly.io,ENOTFOUND
802,epam.com,http_403
799,eeroup.com,http_404
808,appspot.com,http_200
805,mhverifier.ru,http_403
819,ln-msedge.net,ENOTFOUND
821,turn.com,ENOTFOUND
822,lgtvcommon.com,ENOTFOUND
820,33across.com,http_403
827,afilias-nst.org,ENOTFOUND
829,sc-cdn.net,ENOTFOUND
834,msftauth.net,ENOTFOUND
832,cmediahub.ru,http_403
833,sf-cloud.ru,http_404
837,whecloud.com,ENOTFOUND
835,wbbasket.ru,ENOTFOUND
839,myspace.com,UNABLE_TO_VERIFY_LEAF_SIGNATURE
840,focus.de,http_403
841,dbankcloud.ru,ENOTFOUND
838,me.com,http_200
843,mayoclinic.org,http_403
849,onetag-sys.com,http_200
847,usda.gov,http_403
848,discogs.com,http_403
857,yellowblue.io,ENOTFOUND
856,goskope.com,ENOTFOUND
859,adgrx.com,ENOTFOUND
860,hostgator.com.br,http_403
861,ssl-images-amazon.com,ENOTFOUND
831,webempresa.eu,http_404
852,vivo.com.cn,http_200
865,curseforge.com,http_403
867,lowes.com,http_403
870,vercel-dns-017.com,http_404
872,spotifycdn.com,http_404
740,mckinsey.com,timeout
874,azure-devices.net,ENOTFOUND
875,fbsbx.com,http_404
878,usgovcloudapi.net,ENOTFOUND
882,heylink.me,http_403
844,furycloud.io,ENOTFOUND
890,footprintdns.com,ENOTFOUND
892,scdn.co,http_404
896,go-mpulse.net,ENOTFOUND
897,ci-servers.net,ENOTFOUND
899,nintendo.net,ENOTFOUND
902,hath.network,ERR_TLS_CERT_ALTNAME_INVALID
903,miwifi.com,http_404
907,orderbox-dns.com,ENOTFOUND
905,readthedocs.io,http_200
908,ci-servers.org,ENOTFOUND
912,herokudns.com,ENOTFOUND
893,youku.com,http_200
904,samsungosp.com,http_404
915,hstgr.net,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
916,dv.tech,ECONNRESET
914,coupang.com,http_403
911,state.gov,http_200
923,cloudsink.net,ENOTFOUND
921,seedtag.com,http_200
926,samsungiotcloud.com,ENOTFOUND
784,360safe.com,timeout
929,tplinknbu.com,ENOTFOUND
931,vercel-dns-3.com,ENOTFOUND
935,akahost.net,ENOTFOUND
927,warnerbros.com,http_200
938,weforum.org,http_403
937,life360.com,http_403
939,internetwarriors.net,http_200
941,eu.com,http_200
942,singtelchina.cn,ENOTFOUND
814,shopeemobile.com,timeout
954,tsyndicate.com,http_404
955,playrix.com,http_200
913,queniuaa.com,ENOTFOUND
963,4dex.io,ENOTFOUND
964,presage.io,CERT_HAS_EXPIRED
970,t-s1-msedge.net,ENOTFOUND
969,rutube.ru,http_403
973,digitaloceanspaces.com,http_200
974,mybluehost.me,ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
982,nextlgsdp.com,ENOTFOUND
983,ancestry.com,http_403
985,share-dns.com,http_409
895,eu-1-id5-sync.com,timeout
988,sofascore.com,http_403
987,xhcdn.com,http_403
993,columbia.edu,http_404
995,tesla.com,http_403
858,kunluncan.com,timeout
1000,immedia-semi.com,ENOTFOUND
1003,tiktokpangle.us,ENOTFOUND
1002,dnse0.com,ENOTFOUND
1004,zenecn.net,ENOTFOUND
996,zhihu.com,http_403
1007,rtbcdn.ru,ENOTFOUND
1006,ox.ac.uk,http_403
1013,futbin.com,http_403
1012,volcgslb.com,ENOTFOUND
1017,samsungcloudsolution.net,ENOTFOUND
1018,tiktokrow-cdn.com,ENOTFOUND
1020,kwcdn.com,ENOTFOUND
1014,docomo.ne.jp,http_404
1021,flipkart.com,http_403
1011,heytapmobi.com,http_404
1023,nic.io,http_404
1027,vk-analytics.ru,ENOTFOUND
1026,statcounter.com,http_404
1031,kickstarter.com,http_403
1032,translate.goog,http_404
1036,bytefcdn-ttpus.com,ENOTFOUND
1040,keenetic.io,ENOTFOUND
1042,bytefcdn.com,ENOTFOUND
1041,olx.com.br,http_403
961,opera-api.com,timeout
1047,i18n-pglstatp.com,ENOTFOUND
958,leiniao.com,http_404
1052,app-analytics-services-att.com,http_404
1055,yximgs.com,http_400
994,dtkn.ru,timeout
1059,amemv.com,http_404
1065,privacy-mgmt.com,ENOTFOUND
1068,moneycontrol.com,http_403
1070,webhostbox.net,ENOTFOUND
1028,amagi.tv,ECONNRESET
1069,epicgames.dev,http_403
1078,playfabapi.com,http_403
950,hm.com,timeout
1082,adguard-vpn.online,ENOTFOUND
1086,nexthink.cloud,ENOTFOUND
1089,zpath.net,ENOTFOUND
1090,dnse2.com,ENOTFOUND
1054,nic.uk,ENOTFOUND
975,caixa.gov.br,timeout
1106,wcdnga.com,ENOTFOUND
1104,ovscdns.net,ENOTFOUND
1107,mythad.com,ENOTFOUND
1110,contentsquare.net,ENOTFOUND
1114,incapdns.net,ENOTFOUND
1116,byteoversea.com,ENOTFOUND
1109,cdnhwc2.com,ENOTFOUND
